gender,NationalITy,PlaceofBirth,StageID,GradeID,SectionID,Topic,Semester,Relation,raisedhands,VisITedResources,AnnouncementsView,Discussion,ParentAnsweringSurvey,ParentschoolSatisfaction,StudentAbsenceDays,Class,TotalEngagement
1,7,7,1,5,1,0,1,0,27,15,42,53,0,0,0,1,137
1,4,4,1,5,1,0,1,0,45,95,12,13,0,0,1,2,165
1,4,4,1,5,1,0,1,1,15,90,52,83,1,0,1,0,240
0,5,5,1,5,0,0,1,1,45,58,52,43,1,1,1,0,198
1,4,4,1,5,1,0,1,0,25,5,12,33,1,1,1,2,75
0,4,4,1,5,1,0,1,0,22,51,42,40,1,0,1,2,155
1,3,3,1,5,1,0,1,0,29,10,12,24,0,0,0,1,75
0,9,9,1,5,1,0,1,1,72,51,42,24,1,0,0,0,189
1,4,4,1,5,1,0,1,0,67,31,42,14,1,1,1,2,154
1,4,4,1,5,2,11,1,0,17,21,42,14,1,1,1,2,94
1,11,11,1,5,2,11,1,1,27,41,49,14,0,0,1,2,131
1,4,4,1,5,2,11,1,0,70,81,39,84,0,0,1,2,274
1,3,9,1,5,2,11,1,1,27,90,82,14,1,1,1,0,213
1,4,4,1,5,2,11,1,0,17,61,42,14,0,0,1,2,134
1,11,11,1,5,2,11,1,1,87,81,42,19,1,1,1,0,229
1,11,11,1,5,2,11,1,0,7,61,22,14,0,0,0,1,104
1,4,4,1,5,2,11,1,0,17,50,2,4,0,0,0,1,73
1,4,4,1,5,2,11,1,0,5,21,42,14,0,1,0,1,82
1,1,1,1,5,2,11,1,1,27,41,32,61,1,0,0,2,161
0,3,4,1,5,2,11,1,0,87,88,40,10,1,1,1,2,225
1,4,4,1,5,2,11,1,1,96,61,42,94,1,0,1,0,293
1,4,4,1,5,2,11,1,1,57,51,46,34,1,1,1,2,188
1,5,5,1,5,2,11,1,0,77,69,41,13,1,1,1,2,200
1,5,5,1,5,2,11,1,0,80,51,40,24,0,1,1,2,195
1,4,4,1,5,1,11,1,0,62,61,82,40,1,0,1,2,245
1,4,4,1,5,0,11,1,1,72,83,12,90,1,1,1,0,257
1,4,4,1,5,1,11,1,1,87,81,22,70,1,0,1,0,260
1,4,4,1,5,0,11,1,1,72,90,12,30,0,0,1,2,204
1,4,4,1,5,1,11,1,0,2,11,62,30,0,0,1,1,105
1,4,4,1,5,0,11,1,0,5,3,2,10,1,1,1,1,20
1,4,4,0,8,1,8,1,1,73,84,77,81,1,1,0,0,315
1,4,4,1,5,0,11,1,0,5,17,21,10,0,0,0,1,53
1,1,1,1,5,0,11,1,1,51,42,12,29,0,0,0,2,134
1,10,3,1,5,0,11,1,0,9,7,21,20,1,1,0,1,57
1,10,10,1,4,0,9,0,0,19,72,15,50,1,1,0,2,156
0,3,3,1,4,1,10,1,1,32,80,58,46,1,1,0,2,216
1,4,4,1,4,1,10,1,1,32,60,58,66,1,1,0,2,216
1,4,4,1,4,1,10,1,0,12,8,18,26,0,0,0,1,64
1,3,3,1,4,1,10,1,0,52,10,13,6,0,0,0,1,81
1,4,4,1,4,1,10,1,0,72,80,58,66,1,1,0,2,276
0,4,4,1,4,1,10,1,1,72,80,58,66,1,1,0,2,276
1,0,0,1,4,1,10,1,1,92,80,88,76,1,1,1,0,336
1,4,4,1,4,1,10,1,1,72,80,98,96,1,0,1,0,346
1,0,0,1,4,1,10,1,0,72,80,58,86,1,1,1,2,296
1,4,4,1,4,1,10,1,0,22,20,18,6,0,0,0,1,66
1,0,4,1,4,1,10,1,0,12,20,38,46,0,0,0,2,116
1,4,4,1,4,1,7,1,1,70,92,83,85,1,0,1,0,330
0,4,4,1,3,0,7,1,0,50,40,52,66,1,0,1,2,208
0,4,4,1,3,0,10,1,0,80,94,62,77,1,1,1,0,313
0,4,4,1,3,0,8,1,0,87,48,82,96,0,0,0,2,313
0,4,4,1,3,0,9,1,0,70,40,2,16,0,0,0,1,128
1,4,4,2,1,0,7,1,0,65,86,62,40,0,1,0,2,253
1,4,4,2,1,0,8,1,0,15,6,32,40,1,1,1,0,93
1,0,0,2,1,0,3,1,1,19,74,32,17,0,1,0,1,142
0,4,4,2,1,0,10,1,0,69,76,82,94,0,0,1,2,321
1,4,4,2,1,0,0,1,0,39,26,12,44,0,0,0,1,121
1,4,4,2,1,0,3,1,0,59,97,42,70,1,1,1,0,268
1,4,4,2,1,0,6,1,0,10,17,12,40,1,1,1,0,79
0,4,4,2,1,0,6,1,1,80,87,72,60,0,1,1,0,299
0,4,4,2,1,0,6,1,0,70,99,66,65,0,1,1,2,300
0,4,4,2,1,0,6,1,0,80,97,86,95,1,1,1,2,358
1,4,4,2,1,0,3,1,1,69,34,12,17,0,0,0,1,132
1,4,4,2,1,0,6,1,0,10,17,12,14,0,0,0,1,53
1,4,4,2,1,0,6,1,0,61,97,82,64,1,0,0,2,304
0,4,4,2,1,0,6,1,1,21,27,52,34,1,1,0,2,134
1,0,0,2,1,0,8,1,1,49,94,42,7,0,0,0,2,192
0,3,3,1,3,0,3,0,1,70,64,42,32,0,0,1,2,208
0,3,3,1,3,0,3,1,1,79,84,82,37,0,0,1,0,282
1,3,3,1,3,0,3,0,0,19,80,12,17,1,1,0,2,128
1,3,3,1,3,0,3,1,0,11,70,32,29,1,1,0,2,142
1,3,3,1,3,0,3,0,0,10,8,10,10,1,0,0,2,38
1,3,3,1,3,0,3,1,0,18,28,40,20,1,0,0,2,106
0,3,3,1,3,0,3,0,1,90,84,52,30,0,1,1,0,256
0,3,3,1,3,0,3,1,1,92,81,32,36,0,1,1,2,241
1,3,3,1,3,0,3,0,0,42,21,2,16,0,0,1,2,81
1,3,3,1,3,0,3,1,0,22,20,6,26,0,0,1,0,74
0,5,5,1,3,0,3,0,1,95,82,82,70,1,1,1,0,329
0,5,5,1,3,0,3,1,1,90,62,80,60,1,1,1,0,292
1,8,3,1,3,0,3,0,1,72,21,22,26,1,1,1,0,141
1,8,3,1,3,0,3,1,1,92,31,42,27,1,1,1,0,192
1,8,3,1,3,0,3,0,1,82,31,52,25,0,1,1,2,190
1,8,3,1,3,0,3,1,1,72,41,46,27,0,1,1,2,186
1,2,2,1,3,0,3,0,1,74,71,56,37,0,1,1,0,238
1,2,2,1,3,0,3,1,1,74,60,56,37,0,1,1,0,227
0,3,3,1,3,0,3,0,1,95,94,72,80,0,1,1,0,341
0,3,3,1,3,0,3,1,1,97,87,82,86,0,1,1,0,352
1,3,3,1,3,0,3,0,0,40,38,32,36,0,0,0,2,146
1,3,3,1,3,0,3,1,0,41,39,35,39,1,0,0,2,154
0,3,3,1,3,0,3,0,1,51,79,85,89,1,1,1,0,304
0,3,3,1,3,0,3,1,1,81,79,91,85,1,1,1,0,336
1,8,3,1,3,0,3,0,1,71,70,65,69,1,1,1,2,275
1,8,3,1,3,0,3,1,1,75,71,76,80,1,1,1,2,302
0,3,3,2,1,0,10,0,0,49,36,32,44,0,0,0,1,161
0,3,3,2,1,0,10,1,0,42,24,12,24,0,0,0,1,102
0,8,8,2,1,0,10,0,1,90,86,82,74,1,1,1,0,332
0,8,8,2,1,0,10,1,1,62,64,72,84,1,1,1,0,282
1,2,2,2,1,0,10,0,0,90,86,82,74,1,1,0,2,332
1,2,2,2,1,0,10,1,0,62,64,72,84,1,1,0,2,282
0,3,3,2,1,0,10,0,1,98,87,86,84,0,1,1,0,355
0,3,3,2,1,0,10,1,1,72,74,82,89,0,1,1,0,317
1,3,3,2,1,0,10,0,0,18,17,26,34,0,1,0,2,95
1,3,3,2,1,0,10,1,0,32,14,32,29,0,1,0,2,107
1,3,3,2,1,0,10,0,0,10,12,20,13,0,0,0,1,55
1,3,3,2,1,0,10,1,0,22,34,15,9,0,0,0,1,80
0,3,3,2,1,1,10,0,1,11,20,21,23,0,0,1,2,75
0,3,3,2,1,1,10,1,1,12,44,25,39,0,0,1,2,120
0,3,3,2,1,1,10,0,0,15,50,24,43,1,0,1,2,132
0,3,3,2,1,1,10,1,0,32,44,29,89,1,0,1,2,194
1,3,3,2,1,1,10,0,1,65,59,74,83,1,1,1,0,281
1,3,3,2,1,1,10,1,1,72,64,59,89,1,1,1,0,284
1,8,3,2,1,1,10,0,1,95,57,74,89,1,1,0,2,315
1,8,3,2,1,1,10,1,1,82,84,79,79,1,1,0,2,324
1,3,3,2,1,1,10,0,0,25,29,34,33,0,1,0,2,121
1,3,3,2,1,1,10,1,0,42,34,29,39,0,1,0,2,144
0,3,3,2,1,1,10,0,1,55,79,44,43,1,1,1,0,221
0,3,3,2,1,1,10,1,1,62,64,69,49,1,1,1,0,244
0,3,5,2,1,1,10,0,1,78,88,74,83,1,1,1,0,323
0,3,5,2,1,1,10,1,1,72,84,89,89,1,1,1,0,334
1,3,3,2,0,0,4,0,1,60,92,83,23,1,1,1,0,258
1,3,3,2,0,0,4,1,1,50,90,83,13,1,1,1,0,236
0,3,3,2,0,0,4,0,1,60,97,13,3,1,1,1,0,173
0,3,3,2,0,0,4,1,1,50,95,23,10,1,1,1,0,178
0,3,3,2,0,0,4,0,1,60,87,23,11,1,1,0,2,181
0,3,3,2,0,0,4,1,1,50,80,20,15,1,1,0,2,165
1,3,3,2,0,0,4,0,0,10,15,10,21,0,0,0,1,56
1,3,3,2,0,0,4,1,0,30,10,20,5,0,0,0,1,65
1,10,10,2,0,0,4,0,0,24,35,18,31,0,0,1,2,108
1,10,10,2,0,0,4,1,0,27,20,33,35,0,0,1,2,115
0,3,8,2,0,0,4,0,1,80,77,63,83,1,1,1,2,303
0,3,8,2,0,0,4,1,1,75,85,73,80,1,1,1,2,313
1,3,3,2,0,0,4,0,0,40,7,50,41,0,1,0,1,138
1,3,3,2,0,0,4,1,0,35,2,29,33,0,1,0,1,99
0,3,3,2,0,0,4,0,1,10,90,30,21,0,1,1,2,151
0,3,3,2,0,0,4,1,1,25,80,29,23,0,1,1,2,157
1,6,6,2,0,0,4,0,1,10,8,9,3,0,1,0,1,30
1,6,6,2,0,0,4,1,1,15,7,12,7,0,1,0,1,41
0,8,3,2,0,0,4,0,1,70,90,20,21,0,1,1,2,201
0,8,3,2,0,0,4,1,1,75,80,15,20,0,1,1,2,190
0,8,3,2,0,1,4,0,0,78,98,10,11,0,1,1,2,197
0,8,3,2,0,1,4,1,0,79,89,11,14,0,1,1,2,193
0,2,2,2,0,1,4,0,0,16,90,15,11,0,1,1,2,132
0,2,2,2,0,1,4,1,0,17,80,13,10,0,1,1,2,120
1,3,3,2,0,1,4,0,1,40,87,50,41,0,0,1,2,218
1,3,3,2,0,1,4,1,1,35,92,29,33,0,0,1,2,189
0,3,3,2,0,1,4,0,1,14,97,15,14,0,1,1,0,140
0,3,3,2,0,1,4,0,1,13,82,20,30,0,1,1,0,145
0,3,3,2,0,1,4,1,1,24,97,15,14,0,1,1,0,150
0,3,3,2,0,1,4,1,1,23,82,20,30,0,1,1,0,155
1,6,6,2,0,1,4,0,1,20,3,9,3,0,1,0,1,35
1,6,6,2,0,1,4,1,1,15,4,12,7,0,1,0,1,38
1,0,0,2,0,1,4,0,1,5,13,6,6,0,1,0,1,30
1,0,0,2,0,1,4,1,1,7,9,11,10,0,1,0,1,37
0,3,3,2,0,1,4,0,1,10,94,40,11,1,1,1,2,155
0,3,3,2,0,1,4,1,1,25,89,21,13,1,1,1,2,148
1,3,3,2,0,1,4,0,1,30,98,42,21,1,1,1,0,191
1,3,3,2,0,1,4,1,1,35,97,41,23,1,1,1,0,196
1,3,3,2,0,1,4,0,0,32,88,32,25,1,1,1,2,177
1,3,3,2,0,1,4,1,0,25,87,21,27,1,1,1,2,160
0,5,5,2,0,1,4,0,1,72,98,52,15,1,1,1,0,237
0,5,5,2,0,1,4,1,1,75,90,51,17,1,1,1,0,233
1,3,3,2,0,0,0,0,0,20,88,31,28,1,1,0,2,167
1,3,3,2,0,0,0,1,0,10,98,41,38,1,1,0,2,187
1,8,3,2,0,0,0,0,0,90,98,41,38,1,1,1,0,267
1,8,3,2,0,0,0,1,0,80,88,51,39,1,1,1,0,258
1,2,2,2,0,0,0,0,0,80,95,21,28,1,1,1,0,224
1,2,2,2,0,0,0,1,0,78,70,31,29,1,1,1,0,208
1,3,3,2,0,0,0,0,0,10,18,71,38,1,1,0,2,137
1,3,3,2,0,0,0,1,0,10,58,51,48,1,1,0,2,167
0,8,3,2,0,0,0,0,1,98,88,60,31,0,1,1,0,277
0,8,3,2,0,0,0,1,1,75,81,51,34,0,1,1,0,241
1,3,3,2,0,0,0,0,0,10,17,50,21,0,0,1,2,98
1,3,3,2,0,0,0,1,0,35,2,29,23,0,0,1,2,89
0,3,3,2,0,0,0,0,0,10,20,22,97,0,0,0,1,149
0,3,3,2,0,0,0,1,0,5,9,19,98,0,0,0,1,131
1,3,3,2,0,1,0,0,0,10,10,40,51,0,0,0,1,111
1,3,3,2,0,1,0,1,0,35,2,29,23,0,0,0,1,89
1,3,3,2,0,1,0,0,1,20,90,50,61,1,0,0,2,221
1,3,3,2,0,1,0,1,1,32,82,59,63,1,0,0,2,236
1,3,3,2,0,1,0,0,0,10,30,50,91,1,0,0,1,181
1,3,3,2,0,1,0,1,0,12,22,59,83,1,0,0,1,176
0,3,3,2,0,1,0,0,0,11,20,20,98,0,0,0,1,149
0,3,3,2,0,1,0,1,0,10,12,29,93,0,0,0,1,144
1,2,2,2,0,1,0,0,1,69,82,20,28,1,1,1,0,199
1,2,2,2,0,1,0,1,1,70,83,29,33,1,1,1,0,215
